#,Dự án,Kiểu vấn đề,Tác vụ cha,Parent task subject,Trạng thái,Mức ưu tiên,Chủ đề,Tác giả,Phân công cho,Cập nhật,Chủ đề,Phiên bản,Bắt đầu,Hết hạn,Thời gian ước lượng,Total estimated time,Thời gian,Tổng thời gian sử dụng,Tiến độ,Tạo,Đã đóng,Last updated by,Liên quan,Tập tin,Phân loại lỗi,Mã testcase,Số lần làm lại,Riêng tư,Mô tả,Last notes
5804,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Tạo mới,Làm ngay,"[2.5. QLF] Sau khi cập nhật, Create_user + Create_datetime = null",Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 13:47,"","",08-09-2023,"","","",0.00,0.00,0,08-09-2023 13:47,"","","","clipboard-202309081346-oghpe.png
clipboard-202309081347-arf7w.png",Lỗi BE,2.5. QLF,,Không,"B1. Thêm mới thành công 1 bản ghi
-> Hiện trạng: Create_user + Create_datetime đã lưu đúng
B2. Cập nhật bản ghi vừa thêm ở B1

Hiện trạng: Create_user + Create_datetime = null
Mong muốn: Create_user + Create_datetime phải giữ nguyên như B1

!clipboard-202309081346-oghpe.png!

!clipboard-202309081347-arf7w.png!
",""
5783,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Tạo mới,Bình thường,[2.5. QLF] Thêm mới/ Cập nhật: Bỏ trống Tác động + Loại dịch vụ -> File lỗi trả về: Thừa thông báo ở cuối dòng,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 15:40,"","",07-09-2023,"","","",0.00,0.00,0,07-09-2023 11:20,"",Thu Hương Đỗ,"","clipboard-202309071120-qkbv7.png
clipboard-202309071120-tz6nu.png",Lỗi BE,2.5. QLF - Thêm mới,,Không,"Thêm: Bỏ trống Tác động + Loại dịch vụ

HT: File lỗi trả về: Thừa thông báo ở cuối dòng
MM: Bỏ thông báo ở cuối dòng đi

!clipboard-202309071120-qkbv7.png!

!clipboard-202309071120-tz6nu.png!
",""
5685,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Tạo mới,Bình thường,[2.5. QLF] Bỏ trống các trường bắt buộc -> Thông báo lỗi chưa chính xác,Thu Hương Đỗ,Bùi Minh Tuấn,05-09-2023 13:43,"","",05-09-2023,"","","",0.00,0.00,0,05-09-2023 13:43,"","","",clipboard-202309051343-tcrvu.png,Lỗi FE,2.5. QLF,,Không,"Import file: Bỏ trống các trường bắt buộc

HT: Thông báo lỗi chưa chính xác
MM: Thông báo: ''Chưa nhập dữ liệu''

!clipboard-202309051343-tcrvu.png!
",""
5672,PYC_4177291,Bug,5100,2.4. Thêm mới chức năng Xoá Mapping bỏ qua nợ cước v2,Tạo mới,Làm ngay,[2.4. + 2.5 XÓA MAPPING BỎ QUA NỢ CƯỚC V2] Lưu log chưa chính xác,Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 13:16,"","",31-08-2023,"","","",0.00,0.00,0,31-08-2023 16:21,"",Thu Hương Đỗ,"","clipboard-202308311621-s8li7.png
clipboard-202308311621-9xydm.png",Lỗi BE,2.4. XÓA MAPPING BỎ QUA NỢ CƯỚC V2,,Không,"Xóa thành công 1 bản ghi

HT: ACTION_AUDIT: Sai description
MM: Đổi thành: Xóa thông tin mapping bỏ qua nợ cước v2

HT: ACTION_DETAIL: K lưu log
MM: Bổ sung lưu log đầy đủ action_detail

!clipboard-202308311621-s8li7.png!

!clipboard-202308311621-9xydm.png!
",""
5671,PYC_4177291,Bug,5098,2.2. Thêm mới chức năng Thêm mới Mapping bỏ qua nợ cước v2,Tạo mới,Làm ngay,[2.2. + 2.5 THÊM MỚI MAPPING BỎ QUA NỢ CƯỚC V2] K lưu thông tin log trong bảng Action_detail,Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 13:10,"","",31-08-2023,"","","",0.00,0.00,0,31-08-2023 16:12,"",Bùi Minh Tuấn,"","clipboard-202308311611-05lir.png
clipboard-202308311612-qdpss.png
clipboard-202309061909-kdkol.png",Lỗi BE,2.2. THÊM MỚI MAPPING BỎ QUA NỢ CƯỚC V2,,Không,"Thêm mới thành công 1 bản ghi

HT: Action_detail: K lưu thông tin trường MAP_ID + STATUS
MM: Lưu đầy đủ cả thông tin trường MAP_ID + STATUS

!clipboard-202308311611-05lir.png!

!clipboard-202308311612-qdpss.png!
","update 06/09: không lưu log trong bảng action_detail

!clipboard-202309061909-kdkol.png!
"
5670,PYC_4177291,Bug,5099,2.3. Thêm mới chức năng Cập nhật Mapping bỏ qua nợ cước v2,Tạo mới,Làm ngay,[2.3 + 2.5. CẬP NHẬT MAPPING BỎ QUA NỢ CƯỚC V2] K lưu log action_detail,Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 13:50,"","",31-08-2023,"","","",0.00,0.00,0,31-08-2023 15:58,"",Thu Hương Đỗ,"","clipboard-202308311557-puqwl.png
clipboard-202308311557-a0ncv.png",Lỗi BE,2.3. CẬP NHẬT MAPPING BỎ QUA NỢ CƯỚC V2,,Không,"HT: K lưu log action_detail
MM: Lưu đầy đủ log tác động action_detail

!clipboard-202308311557-puqwl.png!

!clipboard-202308311557-a0ncv.png!
",""
5505,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Tạo mới,Bình thường,[2.5. QLF] Vị trí button Tải file mẫu chưa đúng vs thiếu kế,Thu Hương Đỗ,Bùi Minh Tuấn,28-08-2023 09:39,"","",23-08-2023,"","","",0.00,0.00,0,23-08-2023 10:19,"",Trịnh  Khánh Toàn,"",clipboard-202308231019-zcmbu.png,Lỗi FE,Vị trí button Tải file mẫu,,Không,"!clipboard-202308231019-zcmbu.png!
",""
5802,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,"[2.5. QLF] Cập nhật 1 bản ghi, K update thông tin vào bản ghi đã import mà thêm mới 1 bản ghi mới",Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 11:56,"","",08-09-2023,"","","",0.00,0.00,0,08-09-2023 09:23,08-09-2023 11:56,Thu Hương Đỗ,"","clipboard-202309080923-alpqe.png
clipboard-202309080923-zbpp2.png",Lỗi BE,2.5. QLF,,Không,"Cập nhật 1 bản ghi

HT: K update thông tin vào bản ghi đã import mà thêm mới 1 bản ghi mới
MM: Phải update thông tin vào bản ghi đã import

!clipboard-202309080923-alpqe.png!

!clipboard-202309080923-zbpp2.png!
",""
5801,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Thêm mới: Nhập Trạng thái = 0 -> Bản ghi vừa import có status = 0,Thu Hương Đỗ,Bùi Minh Tuấn,08-09-2023 13:53,"","",07-09-2023,"","","",0.00,0.00,0,07-09-2023 18:26,08-09-2023 13:53,Thu Hương Đỗ,"","clipboard-202309071826-sonhb.png
clipboard-202309071826-o7f60.png
clipboard-202309081146-nz48c.png
clipboard-202309081147-uollp.png",Lỗi BE,2.5. QLF - Thêm mới,1,Không,"Thêm mới: Nhập Trạng thái = 0

HT: Bản ghi vừa import có status = 0
MM: Bản ghi vừa import phải có staus = 1

!clipboard-202309071826-sonhb.png!

!clipboard-202309071826-o7f60.png!
","**UPDATE:*

!clipboard-202309081146-nz48c.png!
!clipboard-202309081147-uollp.png!
"
5798,PYC_4177291,Bug,5101,2.5. Thêm mới chức năng Quản lý file – Thêm/cập nhật/xoá/export mapping bỏ qua nợ cước,Hoàn Thành,Làm ngay,[2.5. QLF] Export: Nhập Mã cửa hàng và Mã nhân viên -> ile export trả về k theo đk đã import,Thu Hương Đỗ,Bùi Minh Tuấn,07-09-2023 18:30,"","",07-09-2023,"","","",0.00,0.00,0,07-09-2023 17:33,07-09-2023 18:30,Thu Hương Đỗ,"","clipboard-202309071733-2fa8n.png
clipboard-202309071733-b4aee.png",Lỗi BE,2.5. QLF - Export,,Không,"Export: Nhập Mã cửa hàng và Mã nhân viên

HT: File export trả về k theo đk đã import
MM: Trả về đúng theo đk đã import

!clipboard-202309071733-2fa8n.png!

!clipboard-202309071733-b4aee.png!
",""
